Notes,Year,Year Code,Month,Month Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Jan., 1999",1999/01,Alabama,1,326,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Alaska,2,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Arizona,4,504,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Arkansas,5,141,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,California,6,1957,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Jan., 1999",1999/01,Colorado,8,265,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Connecticut,9,345,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Delaware,10,73,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,District of Columbia,11,46,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Florida,12,1512,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Jan., 1999",1999/01,Georgia,13,474,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Hawaii,15,66,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Idaho,16,60,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Illinois,17,879,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Indiana,18,443,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Iowa,19,164,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Kansas,20,135,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Kentucky,21,224,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Louisiana,22,270,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Maine,23,61,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Maryland,24,372,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Massachusetts,25,711,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Michigan,26,620,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Minnesota,27,216,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Mississippi,28,92,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Missouri,29,366,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Montana,30,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Nebraska,31,75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Nevada,32,156,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,New Hampshire,33,57,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,New Jersey,34,823,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,New Mexico,35,104,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,New York,36,1722,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Jan., 1999",1999/01,North Carolina,37,524,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,North Dakota,38,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Ohio,39,830,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Oklahoma,40,209,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Oregon,41,197,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Pennsylvania,42,1252,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Jan., 1999",1999/01,Rhode Island,44,109,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,South Carolina,45,292,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,South Dakota,46,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Tennessee,47,385,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Texas,48,1126,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Jan., 1999",1999/01,Utah,49,130,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Vermont,50,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Virginia,51,468,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Washington,53,420,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,West Virginia,54,121,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Wisconsin,55,292,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Jan., 1999",1999/01,Wyoming,56,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Alabama,1,277,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Alaska,2,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Arizona,4,582,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Arkansas,5,119,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,California,6,1808,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,Colorado,8,310,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Connecticut,9,314,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Delaware,10,79,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,District of Columbia,11,43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Florida,12,1459,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,Georgia,13,425,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Hawaii,15,49,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Idaho,16,61,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Illinois,17,923,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Indiana,18,450,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Iowa,19,163,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Kansas,20,151,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Kentucky,21,206,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Louisiana,22,248,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Maine,23,96,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Maryland,24,466,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Massachusetts,25,817,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Michigan,26,656,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Minnesota,27,271,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Mississippi,28,90,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Missouri,29,375,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Montana,30,42,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Nebraska,31,100,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Nevada,32,125,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New Hampshire,33,50,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New Jersey,34,784,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New Mexico,35,116,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New York,36,1476,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,North Carolina,37,515,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,North Dakota,38,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Ohio,39,848,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Oklahoma,40,191,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Oregon,41,249,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Pennsylvania,42,1248,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,Rhode Island,44,132,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,South Carolina,45,282,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,South Dakota,46,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
