,State,Month,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Deaths,% of Total Deaths,T-1,D-1,o3-1,SO2-1,CO-1,C_D,C_o3,C_SO2,C_CO
0,California,1,2000,22.68160650693937,0.0131114587289992,1.7854489130752376,1.0279054784514243,3786,0.20%,,,,,,0.0,0.0,0.0,0.0
1,California,1,2001,24.87895323455056,0.0144992303370786,1.9266114389044944,1.015182759831461,2450,0.10%,0.0,3786.0,0.0131114587289992,1.7854489130752376,1.0279054784514243,-1336.0,0.0013877716080793988,0.1411625258292568,-0.012722718619963436
2,California,1,2002,22.126760295717595,0.013621558449074,1.7977071105324074,0.9119221302083332,2257,0.10%,0.0,2450.0,0.0144992303370786,1.9266114389044944,1.015182759831461,-193.0,-0.0008776718880045987,-0.12890432837208698,-0.10326062962312765
3,California,1,2003,22.289633154261704,0.0116296284513805,1.8406915453181276,0.922266650660264,2250,0.10%,0.0,2257.0,0.013621558449074,1.7977071105324074,0.9119221302083332,-7.0,-0.0019919299976935007,0.04298443478572023,0.010344520451930794
4,California,1,2004,20.979846540616247,0.014650619047619,1.548441898459384,0.8271998112745098,2804,0.10%,0.0,2250.0,0.0116296284513805,1.8406915453181276,0.922266650660264,554.0,0.003020990596238499,-0.29224964685874366,-0.09506683938575422
5,California,1,2005,17.450795703311258,0.0151465655629139,1.7514206139072843,0.6085827688741722,2238,0.10%,0.0,2804.0,0.014650619047619,1.548441898459384,0.8271998112745098,-566.0,0.0004959465152949011,0.20297871544790036,-0.21861704240033764
6,California,1,2006,17.568332388508892,0.01769946374829,1.5166159692202463,0.5956646279069767,2683,0.10%,0.0,2238.0,0.0151465655629139,1.7514206139072843,0.6085827688741722,445.0,0.0025528981853761012,-0.234804644687038,-0.012918140967195457
7,California,1,2007,19.55815002484472,0.0171814899930986,1.831674738095238,0.6390351394064873,2300,0.10%,0.0,2683.0,0.01769946374829,1.5166159692202463,0.5956646279069767,-383.0,-0.0005179737551914004,0.31505876887499173,0.043370511499510545
8,California,1,2008,15.322484787063535,0.0200763503148254,1.1541917069261591,0.5214718219805381,2364,0.10%,0.0,2300.0,0.0171814899930986,1.831674738095238,0.6390351394064873,64.0,0.0028948603217268006,-0.6774830311690789,-0.11756331742594917
9,California,1,2009,18.41520763885429,0.0151257646326276,1.209684095890411,0.5683628854296389,2081,0.10%,0.0,2364.0,0.0200763503148254,1.1541917069261591,0.5214718219805381,-283.0,-0.004950585682197802,0.05549238896425179,0.04689106344910077
