"","Month","Year","X","State","NO2.Mean","O3.Mean","SO2.Mean","CO.Mean","Deaths","date","pm25","Month.y"
"1",1,2001,1,"Louisiana",20.1888685806452,0.0148812258064516,7.04289075806452,0.970738,338,"JAN2001",12.7837575487832,"JAN"
"2",1,2002,2,"Louisiana",24.7392298064516,0.0134758064516129,3.88692017741935,0.749312016129032,244,"JAN2002",9.04489025998868,"JAN"
"3",1,2003,3,"Louisiana",19.1437390714286,0.0182707142857143,4.37846858928571,0.694988142857143,281,"JAN2003",10.2886767012168,"JAN"
"4",1,2004,4,"Louisiana",20.1516019032258,0.0146257419354839,4.23876088709677,0.780829693548387,286,"JAN2004",11.2260634549519,"JAN"
"5",1,2005,5,"Louisiana",15.0227368666667,0.0152863,5.27102496666667,0.1476222,289,"JAN2005",9.4379270639219,"JAN"
"6",1,2006,6,"Louisiana",14.8079316896552,0.0197765862068966,3.17419278448276,0.42278674137931,273,"JAN2006",10.7724249773062,"JAN"
"7",1,2007,7,"Louisiana",13.5259740967742,0.0134435161290323,5.00793524193548,0.0828646451612903,254,"JAN2007",8.13624813056027,"JAN"
"8",1,2008,8,"Louisiana",16.446001483871,0.0163468387096774,3.34951214516129,0.276773435483871,303,"JAN2008",8.09531647354273,"JAN"
"9",1,2009,9,"Louisiana",16.813846,0.0155548387096774,3.21199217741936,0.246151564516129,272,"JAN2009",9.86237354385965,"JAN"
"10",1,2010,10,"Louisiana",15.6841222903226,0.0214992258064516,3.11269724193548,0.393373822580645,306,"JAN2010",9.68265448678551,"JAN"
"11",10,2001,100,"Louisiana",19.1791115806452,0.0208758709677419,1.19947769354839,0.785340129032258,207,"OCT2001",10.1365570057159,"OCT"
"12",10,2002,101,"Louisiana",15.937465516129,0.0160238709677419,2.4986749516129,0.608011967741935,189,"OCT2002",9.37674141114884,"OCT"
"13",10,2003,102,"Louisiana",18.2334938709677,0.0236487741935484,2.95766948387097,0.836945661290323,225,"OCT2003",14.1114406080079,"OCT"
